season,ncaa_division,ncaa_division_formatted,team_conference_name,team_id,school_name,sport_id,school_id,url
2025,3,III,Michigan Intercol. Ath. Assn.,594451,Calvin,WLA,114,https://calvinknights.com/sports/womens-lacrosse
2025,3,III,CCIW,594453,Carroll (WI),WLA,120,https://carrollpioneers.com/sports/womens-lacrosse
2025,3,III,CCIW,594455,Carthage,WLA,121,https://carthageredmen.com/sports/womens-lacrosse
2025,3,III,Little East,594456,VTSU Castleton,WLA,123,https://castletonspartans.com/sports/womens-lacrosse
2025,3,III,Landmark,594458,Catholic,WLA,124,https://cuacardinals.com/sports/womens-lacrosse
2025,3,III,SAA,594460,Centre,WLA,132,https://centrecolonels.com/sports/womens-lacrosse
2025,3,III,SCIAC,594461,Chapman,WLA,134,https://chapmanpanthers.com/sports/womens-lacrosse
2025,3,III,C2C,594463,Chris. Newport,WLA,139,https://cnuathletics.com/sports/womens-lacrosse
2025,3,III,SCIAC,594465,Claremont-M-S,WLA,142,https://claremontmuddscrippsathletics.com/sports/womens-lacrosse
2025,3,III,Liberty League,594467,Clarkson,WLA,146,https://clarksonathletics.com/sports/womens-lacrosse
2025,3,III,NESCAC,594469,Colby,WLA,151,https://colbymules.com/sports/womens-lacrosse
2025,3,III,Great Northeast,594471,Colby-Sawyer,WLA,152,https://colby-sawyerathletics.com/sports/womens-lacrosse
2025,3,III,WIAC,594473,Colorado Col.,WLA,154,https://coloradocollegetigers.com/sports/womens-lacrosse
2025,3,III,NESCAC,594476,Connecticut Col.,WLA,163,https://conncollathletics.com/sports/womens-lacrosse
2025,3,III,NACC,594477,Cornell College,WLA,166,https://cornellrams.com/sports/womens-lacrosse
2025,3,III,CNE,594479,Curry,WLA,170,https://curryathletics.com/sports/womens-lacrosse
2025,3,III,NCAC,594481,DePauw,WLA,177,https://depauwtigers.com/sports/womens-lacrosse
2025,3,III,MAC Freedom,594483,Delaware Valley,WLA,179,https://dvcaggies.com/sports/womens-lacrosse
2025,3,III,Centennial,594485,Dickinson,WLA,185,https://dickinsonsports.com/sports/womens-lacrosse
